flight_id date hour runway
221003SAS46B 221003 22 01R
221003SAS4704 221003 12 01L
221003SAS4744 221003 10 01L
221003SAS4788 221003 13 01L
221003SAS47Y 221003 09 01R
221003SAS483 221003 08 01L
221003SAS485 221003 09 01L
221003SAS489 221003 11 01L
221003SAS491 221003 14 01R
221003SAS55P 221003 06 01L
221003SAS56C 221003 08 01R
221003SAS61K 221003 19 01L
221003SAS64H 221003 07 01L
221003SAS64P 221003 10 01R
221003SAS69C 221003 15 01L
221003SAS7388 221003 20 01L
221003SAS73B 221003 17 01R
221003SAS73L 221003 08 01R
221003SAS74M 221003 18 01R
221003SAS78L 221003 10 01L
221003SAS802 221003 08 01L
221003SAS804 221003 11 01L
221003SAS806 221003 16 01L
221003SAS80M 221003 18 01L
221003SAS812 221003 20 01L
221003SAS817 221003 11 01L
221003SAS822 221003 11 01L
221003SAS834 221003 14 01R
221003SAS83G 221003 18 01R
221003SAS842 221003 14 01R
221003SAS847 221003 07 01L
221003SAS849 221003 09 01L
221003SAS85Z 221003 15 01L
221003SAS867 221003 13 01L
221003SAS885 221003 16 01L
221003SAS897 221003 20 01L
221003SAS908 221003 05 01L
221003SAS91K 221003 14 01L
221003SAS92Y 221003 14 01L
221003SAS96A 221003 11 01R
221003SAS98E 221003 18 01L
221003SWR1210 221003 10 01L
221003SWR121G 221003 21 01L
221003SWT7TS 221003 20 01R
221003TAP762K 221003 10 01L
221003THY2WY 221003 08 01L
221003THY4DQ 221003 14 01L
221003UPS284 221003 03 01R
221003VKG1591 221003 03 01R
221003VLG92WY 221003 14 01L
221003WIF144 221003 09 01R
221003WIF15T 221003 19 01R
221003WIF17B 221003 12 01R
221003WIF31 221003 06 01L
221003WIF35D 221003 12 01R
221003WIF39 221003 19 01R
221003WIF40M 221003 05 01L
221003WIF43P 221003 09 01R
221003WIF49Y 221003 13 01R
221003WIF53X 221003 16 01R
221003WIF62E 221003 05 01L
221003WIF64D 221003 08 01R
221003WIF74J 221003 15 01R
221003WIF78B 221003 20 01R
221003WIF7P 221003 13 01R
221003WIF80G 221003 04 01R
221003WIF84K 221003 09 01R
221003WIF88C 221003 12 01R
221003WIF92F 221003 15 01R
221003WIF96H 221003 18 01R
221003WIF9BF 221003 21 01R
221003WIF9XH 221003 20 01R
221003WZZ10AA 221003 20 01R
221003WZZ6810 221003 14 01L
221004AFR12RQ 221004 15 19L
221004BAW4VK 221004 12 19L
221004BAW760 221004 16 19L
221004BAW8VK 221004 08 19L
221004BCS3316 221004 05 19L
221004BCS63H 221004 04 19L
221004BEL1EW 221004 20 19L
221004BEL5BP 221004 15 19L
221004BTI15M 221004 20 19L
